Type,bin_diams
Aerosol,"55.820, 57.480, 59.185, 60.945, 62.760, 64.625, 66.545, 68.525, 70.560, 72.655, 
 74.815, 77.040, 79.335, 81.695, 84.120, 86.620, 89.195, 91.845, 94.575, 97.390, 
 100.290, 103.270, 106.340, 109.500, 112.755, 116.110, 119.560, 123.115, 126.775, 130.545, 
 134.425, 138.420, 142.535, 146.770, 151.135, 155.630, 160.260, 165.025, 169.930, 174.980, 
 180.180, 185.540, 191.060, 196.740, 202.585, 208.605, 214.810, 221.200, 227.775, 234.545, 
 241.520, 248.700, 256.090, 263.705, 271.550, 279.625, 287.935, 296.495, 305.310, 314.385, 
 323.735, 333.360, 343.270, 353.475, 363.985, 374.810, 385.950, 397.420, 409.235, 421.405, 
 433.935, 446.835, 460.120, 473.800, 487.885, 502.390, 517.325, 532.705, 548.545, 564.855, 
 581.650, 598.940, 616.745, 635.085, 653.965, 673.405, 693.430, 714.045, 735.270, 757.130, 
 779.640, 802.820, 826.690, 851.270, 876.580, 902.640, 929.475, 957.110, 985.565"
Cloud,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48"
