instrument_name,path_to_instrument_folder,has_header_info,has_header,header_start,time_header_name,time_format,separator,file_type,column_names
wcm,C:\Users\haika\Desktop\May_Research\campaign_data\BBOP\wcm,TRUE,TRUE,last,Start_UTC,S,",",ict,Start_UTC;WCM_TWC;WCM_083;WCM_021
uhsas,C:\Users\haika\Desktop\May_Research\campaign_data\BBOP\uhsas,TRUE,TRUE,last,Start_Time_(UTC),S,",",ict,Start_Time_(UTC);0.061;0.063;0.065;0.067;0.068;0.070;0.072;0.075;0.077;0.079;0.081;0.084;0.086;0.088;0.091;0.094;0.096;0.099;0.102;0.105;0.108;0.111;0.114;0.118;0.121;0.124;0.128;0.132;0.135;0.139;0.143;0.147;0.152;0.156;0.161;0.165;0.170;0.175;0.180;0.185;0.190;0.196;0.202;0.207;0.213;0.220;0.226;0.232;0.239;0.246;0.253;0.260;0.268;0.276;0.284;0.292;0.300;0.309;0.318;0.327;0.336;0.346;0.356;0.366;0.377;0.388;0.399;0.410;0.422;0.434;0.447;0.460;0.473;0.487;0.501;0.515;0.530;0.545;0.561;0.577;0.594;0.611;0.628;0.647;0.665;0.684;0.704;0.724;0.745;0.767;0.789;Num_Conc_(#/cm^3);Area_Conc_(um^2/cm^3);Vol_Conc_(um^3/cm^3);Counts;Noise;CPC;Total;Max_Flag;Cloud_Flag
sp2,C:\Users\haika\Desktop\May_Research\campaign_data\BBOP\sp2,FALSE,TRUE,last,SP2_time,HH:MM:SS,"	",tsv,filenotes;SP2_datetime_in_sec;SP2_date;SP2_time;SP2_rBC_conc;SP2_Dmin;SP2_Dgeo;SP2_Dmax;SP2_cnts_0;SP2_cnts_1;SP2_cnts_2;SP2_cnts_3;SP2_cnts_4;SP2_cnts_5;SP2_cnts_6;SP2_cnts_7;SP2_cnts_8;SP2_cnts_9;SP2_cnts_10;SP2_cnts_11;SP2_cnts_12;SP2_cnts_13;SP2_cnts_14;SP2_cnts_15;SP2_cnts_16;SP2_cnts_17;SP2_cnts_18;SP2_cnts_19;SP2_cnts_20;SP2_cnts_21;SP2_cnts_22;SP2_cnts_23;SP2_cnts_24;SP2_cnts_25;SP2_cnts_26;SP2_cnts_27;SP2_cnts_28;SP2_cnts_29;SP2_cnts_30;SP2_cnts_31;SP2_cnts_32;SP2_cnts_33;SP2_cnts_34;SP2_cnts_35;SP2_cnts_36;SP2_cnts_37;SP2_cnts_38;SP2_cnts_39;SP2_cnts_40;SP2_cnts_41;SP2_cnts_42;SP2_cnts_43;SP2_cnts_44;SP2_cnts_45;SP2_cnts_46;SP2_cnts_47;SP2_cnts_48;SP2_cnts_49;SP2_cnts_50;SP2_cnts_51;SP2_cnts_52;SP2_cnts_53;SP2_cnts_54;SP2_cnts_55;SP2_cnts_56;SP2_cnts_57;SP2_cnts_58;SP2_cnts_59;SP2_cnts_60;SP2_cnts_61;SP2_cnts_62;SP2_cnts_63;SP2_cnts_64;SP2_cnts_65;SP2_cnts_66;SP2_cnts_67;SP2_cnts_68;SP2_cnts_69;SP2_cnts_70;SP2_cnts_71;SP2_cnts_72;SP2_cnts_73;SP2_cnts_74;SP2_cnts_75;SP2_cnts_76;SP2_cnts_77;SP2_cnts_78;SP2_cnts_79;SP2_cnts_80;SP2_cnts_81;SP2_cnts_82;SP2_cnts_83;SP2_cnts_84;SP2_cnts_85;SP2_cnts_86;SP2_cnts_87;SP2_cnts_88;SP2_cnts_89;SP2_cnts_90;SP2_cnts_91;SP2_cnts_92;SP2_cnts_93;SP2_cnts_94;SP2_cnts_95;SP2_cnts_96;SP2_cnts_97;SP2_cnts_98;SP2_cnts_99;SP2_cnts_100;SP2_cnts_101;SP2_cnts_102;SP2_cnts_103;SP2_cnts_104;SP2_cnts_105;SP2_cnts_106;SP2_cnts_107;SP2_cnts_108;SP2_cnts_109;SP2_cnts_110;SP2_cnts_111;SP2_cnts_112;SP2_cnts_113;SP2_cnts_114;SP2_cnts_115;SP2_cnts_116;SP2_cnts_117;SP2_cnts_118;SP2_cnts_119;SP2_cnts_120;SP2_cnts_121;SP2_cnts_122;SP2_cnts_123;SP2_cnts_124;SP2_cnts_125;SP2_cnts_126;SP2_cnts_127;SP2_cnts_128;SP2_cnts_129;SP2_cnts_130;SP2_cnts_131;SP2_cnts_132;SP2_cnts_133;SP2_cnts_134;SP2_cnts_135;SP2_cnts_136;SP2_cnts_137;SP2_cnts_138;SP2_cnts_139;SP2_cnts_140;SP2_cnts_141;SP2_cnts_142;SP2_cnts_143;SP2_cnts_144;SP2_cnts_145;SP2_cnts_146;SP2_cnts_147;SP2_cnts_148;SP2_cnts_149;SP2_cnts_150;SP2_cnts_151;SP2_cnts_152;SP2_cnts_153;SP2_cnts_154;SP2_cnts_155;SP2_cnts_156;SP2_cnts_157;SP2_cnts_158;SP2_cnts_159;SP2_cnts_160;SP2_cnts_161;SP2_cnts_162;SP2_cnts_163;SP2_cnts_164;SP2_cnts_165;SP2_cnts_166;SP2_cnts_167;SP2_cnts_168;SP2_cnts_169;SP2_cnts_170;SP2_cnts_171;SP2_cnts_172;SP2_cnts_173;SP2_cnts_174;SP2_cnts_175;SP2_cnts_176;SP2_cnts_177;SP2_cnts_178;SP2_cnts_179;SP2_cnts_180;SP2_cnts_181;SP2_cnts_182;SP2_cnts_183;SP2_cnts_184;SP2_cnts_185;SP2_cnts_186;SP2_cnts_187;SP2_cnts_188;SP2_cnts_189;SP2_cnts_190;SP2_cnts_191;SP2_cnts_192;SP2_cnts_193;SP2_cnts_194;SP2_cnts_195;SP2_cnts_196;SP2_cnts_197;SP2_cnts_198;SP2_cnts_199
psap,C:\Users\haika\Desktop\May_Research\campaign_data\BBOP\psap,FALSE,FALSE,last,Time,H.hh,\s+,dat,Time;hh;mm;ss;tbs_tr_corr;tgs_tr_corr;trs_tr_corr;bbs_tr_corr;bgs_tr_corr;brs_tr_corr;tba_corr;tga_corr;tra_corr;neph_P;neph_T;neph_R;F_cld
pass,C:\Users\haika\Desktop\May_Research\campaign_data\BBOP\pass,FALSE,TRUE,last,Time_Z,HH:MM:SS,\s+,txt,Date_Z;Time_Z;JulianDay_Z;Babs_1/Mm;Bsca_1/Mm;P_mb;T_C;RH_% ;LaserPower_mW
iwg1,C:\Users\haika\Desktop\May_Research\campaign_data\BBOP\iwg1,FALSE,TRUE,last,Date_Time,YYYY-MM-DD HH:MM:SS,",",txt,IWG1;Date_Time;Lat;Lon;GPS_MSL_Alt;WGS_84_Alt;Press_Alt;Radar_Alt;Grnd_Spd;True_Airspeed;Indicated_Airspeed;Mach_Number;Vert_Velocity;True_Hdg;Track;Drift;Pitch;Roll;Side_slip;Angle_of_Attack;Ambient_Temp;Dew_Point;Total_Temp;Static_Press;Dynamic_Press;Cabin_Pressure;Wind_speed;Wind_Dir;Vert_Wind_Spd;Solar_Zenith;Sun_Elev_AC;Sun_Az_Grd;Sun_Az_AC;Flag_qc;Flag_ac;Flag_Diluter;Flag_cloud;Flag_cloudP;RH_water;RH_ice;Theta;Cabin_Temperature;Q_Dilution;Q_bypass;D_ratio;Leg_num
cpc,C:\Users\haika\Desktop\May_Research\campaign_data\BBOP\cpc,TRUE,TRUE,last,Start_UTC,S,",",ict,Start_UTC;CPC_Conc_3010;CPC_Conc_3025;Flag
ccn,C:\Users\haika\Desktop\May_Research\campaign_data\BBOP\ccn,TRUE,TRUE,last,Start_UTC,S,",",ict,Start_UTC;DT_A;SS_A;CCN_Conc_A;DT_B;SS_B;CCN_Conc_B;Flag
cas,C:\Users\haika\Desktop\May_Research\campaign_data\BBOP\cas,TRUE,TRUE,last,Start_Time_(UTC),S,",",ict,Start_Time_(UTC);0.575;0.645;0.715;0.785;0.855;0.925;0.995;1.065;1.135;1.21;1.375;1.75;2.25;2.75;3.25;3.75;4.5;5.75;6.85;7.55;9.05;11.35;13.75;17.5;22.5;27.5;32.5;37.5;42.5;47.5;Num_Conc_(#/cm^3);Area_Conc_(um^2/cm^3);Vol_Conc_(um^3/cm^3);Data_Flag;Cloud_Flag
